;Название магии        Классы Круги Уровни
мигание *        	...........  3 0 0 ;--резерв для ведьмака
сеть *           	...........  4 0 0 ;--
полная слепота   	...........  6 0 0 ;заменить на *слово  силы ослепить*
тьма *           	...........  5 0 0 ;-- тьма (???)
длительное молчание 	...........  7 0 0 ;--
запечатать комнату  	...........  3 0 0 ;--
рассеять свет    	...........  5 0 0 ;--
вред *          	...........  6 2 a ;--
истощить энергию 	...........  7 0 0 ;--
призвать *       	...........  8 0 0 ;если только иммам...
легкое исцеление 	!......!...  1 0 0 ;для клирика, друида
критическое исцеление 	!......!...  5 0 0 ;для клирика, друида
определить наклонности 	!....!.....  2 0 0 ; для клириков, палладинов
определить магию 	!......!...  5 0 0 ;изменить на  *истинное зрение* для клерика, друида
серьезное исцеление 	!....!.....  3 0 0 ;для клерика, паладина
серьезное исцеление 	........!..  2 0 0 ;для монаха
молчание *       	!!.........  3 0 0 ;для клириков, магов
страх *          	!...!......  3 0 0 ;для клирика, ассасина
развеять магию   	!!.........  3 0 0 ;для клерика, мага
развеять зло     	!!..!..!...  3 0 0 ;для клерика, мага,ассасина,друида
вылечить слепоту 	!....!.....  2 0 0 ;для клерика,паладина
нейтрализовать яд 	!.....!....  2 0 0 ;для клерика,следопыта
зачаровать *     	!..........  3 0 bc ;для клирика
зачаровать *     	.......!...  3 0 0 ;для друида
зачаровать *     	.!.........  4 0 0 ;для мага
создать свет     	!!.........  1 0 0 ;для мага,клерика
насыщение *           	......!!...  2 0 0 ;для друида, следопыта
молния *         	.!.....!...  4 0 0 ;для мага, друида
магические снаряды 	.!..!......  2 0 0 ;для мага,ассасина
сфера холода     	.!..!..!...  5 0 0 ;для мага,ассасина,друида
чувствовать жизнь 	....!.!!...  2 0 0 ;для ассасина,следопыта,друида
снять оцепенение 	.....!!!...  4 0 0 ;для паладина,следопыта,друида *вылечить паралич

;предложения по аффектам
;молча  - нельзя говорить заклинания, использовать(читать свитки), можно применять посохи жезлы и  т.п.
;слепота  - нельзя использовать(читать свитки), можно произносить заклинания,применять посохи жезлы и  т.п.(правда вслепую)
;глухота - заклинания 50% файляться и нихрена не слышно (разговоры, теллы,  крики, сообщения группе или клану) -  разговаривайте жестами (эмоциями :-) )
;кстати можно ввести специализацию магов в кланах... саммонеры, чармеры, некроманты... и т.п. - дать по 3-4 заклинания на специальтность(отступление от темы)
